,area_name,arrest_rate_2020,arrest_rate_2021
0,77th Street,0.38709192116744395,0.4012246460007654
1,Central,0.4304332815466943,0.3139596804868771
2,Pacific,0.3828314295604015,0.4276749050902611
3,Hollywood,0.4150887573964497,0.32044381882917944
4,Newton,0.41367555644676157,0.4012526517830084
5,Van Nuys,0.4399954238645464,0.4397833352541201
6,Rampart,0.40521932259855636,0.44243194576845674
7,Southwest,0.3234370795587048,0.3212904360056259
8,Mission,0.41676519271695434,0.3730506822612086
9,Southeast,0.3150596283627623,0.31536983669548513
10,N Hollywood,0.3131711161461925,0.26530237680095436
11,Olympic,0.2978900322211828,0.2622024636473094
12,Topanga,0.34470399208997654,0.36084520196124215
13,Foothill,0.34766671366135626,0.32422041862451945
14,Harbor,0.2667118337850045,0.24150005647803005
15,West Valley,0.290850483511034,0.2780974750440399
16,Hollenbeck,0.299730665640631,0.28318142090148585
17,Northeast,0.24034588959962094,0.2340083574413372
18,West LA,0.21371662360034452,0.2427833485262838
19,Wilshire,0.1893874029335634,0.18659942363112392
